BIPA	GRAPHEME	COUNT	SYMBOLS
ɨ	ɨ	40	◌ɨ
ɨa	ɨa	1	◌ɨ ◌a
ɨe	ɨe	1	◌ɨ ◌e
ɨː	ɨː	14	◌ɨ ◌ː
ɨ̃	ɨ̃	6	◌ɨ ◌̃
ɨ̃ː	ɨ̃ː	1	◌ɨ ◌̃ ◌ː
ɨ̆	ɨ̆	1	◌ɨ ◌̆
ɨ̥	ɨ̥	2	◌ɨ ◌̥
ɪ	ɪ	11	◌ɪ
ɪ̃	ɪ̃	1	◌ɪ ◌̃
lˠ	ɫ	3	◌l ◌ˠ
ɬ	ɬ	29	◌ɬ
ɬʼ	ɬʼ	2	◌ɬ ◌ʼ
ɬˀ	ɬˀ	2	◌ɬ ◌ˀ
ɬʷˀ	ɬˀʷ	1	◌ɬ ◌ʷ ◌ˀ
ɬˤ	ɬˁ	1	◌ɬ ◌ˤ
ɬː	ɬː	2	◌ɬ ◌ː
ɬˤ	ɬˤ	1	◌ɬ ◌ˤ
ɬʼ	ɬ’	1	◌ɬ ◌ʼ
ɬʼː	ɬ’ː	1	◌ɬ ◌’ ◌ː
ɭ	ɭ	10	◌ɭ
ɭ̊	ɭ̥	2	◌ɭ ◌̊
ɮ	ɮ	2	◌ɮ
ɯ	ɯ	7	◌ɯ
ɯə	ɯə	2	◌ɯ ◌ə
ɯː	ɯː	8	◌ɯ ◌ː
ɯ̃	ɯ̃	1	◌ɯ ◌̃
ɰ	ɰ	4	◌ɰ
ɰʷ	ɰʷ	1	◌ɰ ◌ʷ
ɰʼ	ɰʼ	1	◌ɰ ◌’
ɰʼʷ	ɰʼʷ	1	◌ɰ ◌’ ◌ʷ
ɲ	ɲ	81	◌ɲ
ⁿc	ɲc	1	◌ⁿ ◌c
ⁿɟ	ɲɟ	4	◌ⁿ ◌ɟ
ɲˀ	ɲˀ	1	◌ɲ ◌ˀ
ɲː	ɲː	1	◌ɲ ◌ː
ɲ̊	ɲ̥	4	◌ɲ ◌̊
ɳ	ɳ	9	◌ɳ
ⁿɖ	ɳɖ	1	◌ⁿ ◌ɖ
ɵ	ɵ	3	◌ɵ
ɵː	ɵː	1	◌ɵ ◌ː
ɵ̆	ɵ̆	1	◌ɵ ◌̆
ɶː	ɶː	1	◌ɶ ◌ː
ɸ	ɸ	7	◌ɸ
ɹ	ɹ	8	◌ɹ
ɺ	ɺ	1	◌ɺ
ɻ	ɻ	6	◌ɻ
ɽ	ɽ	9	◌ɽ
ɽˀ	ɽˀ	1	◌ɽ ◌ˀ
ɾ	ɾ	13	◌ɾ
ʀ	ʀ	16	◌ʀ
ʁ	ʁ	4	◌ʁ
ʁʷ	ʁʷ	2	◌ʁ ◌ʷ
ʂ	ʂ	9	◌ʂ
ʂʼ	ʂʼ	2	◌ʂ ◌’
ʃ	ʃ	64	◌ʃ
ʃʲ	ʃʲ	1	◌ʃ ◌ʲ
ʃʲː	ʃʲː	1	◌ʃ ◌ʲ ◌ː
ʃʼ	ʃʼ	3	◌ʃ ◌ʼ
ʃː	ʃː	4	◌ʃ ◌ː
ʄ	ʄ	9	◌ʄ
ʄ̟	ʄ̟	1	◌ʄ ◌̟
ʃʲ	ʆ	8	◌ʃ ◌ʲ
ʈ	ʈ	15	◌ʈ
ʈʂ	ʈʂ	4	◌ʈ ◌ʂ
ʈʂʼ	ʈʂʼ	1	◌ʈ ◌ʂ ◌’
ʈʂʰ	ʈʂ͇ʰ	1	◌ʈ ◌ʂ ◌ʰ
ʈʰ	ʈʰ	3	◌ʈ ◌ʰ
ʈʼ	ʈʼ	3	◌ʈ ◌’
ʈˀ	ʈˀ	1	◌ʈ ◌ˀ
ʈː	ʈː	1	◌ʈ ◌ː
ʉ	ʉ	2	◌ʉ
ʊ	ʊ	13	◌ʊ
ʊ̃	ʊ̃	1	◌ʊ ◌̃
ʋ	ʋ	5	◌ʋ
ʌ	ʌ	1	◌ʌ
ʌː	ʌː	2	◌ʌ ◌ː
ʌ̃	ʌ̃	3	◌ʌ ◌̃
ʌ̃ː	ʌ̃ː	3	◌ʌ ◌̃ ◌ː
ʍ	ʍ	1	◌ʍ
ʎ	ʎ	27	◌ʎ
ʎˀ	ʎˀ	1	◌ʎ ◌ˀ
ʎ̥	ʎ̥	4	◌ʎ ◌̥
ʏ	ʏ	4	◌ʏ
ʐ	ʐ	2	◌ʐ
ʑ	ʑ	5	◌ʑ
ʒ	ʒ	13	◌ʒ
ʒʼ	ʒʼ	1	◌ʒ ◌’
ʒ	ʓ	4	◌ʒ
ʔ	ʔ	113	◌ʔ
ˀb	ʔb	2	◌ˀ ◌b
ˀd	ʔd	1	◌ˀ ◌d
ˀj	ʔj	4	◌ˀ ◌j
ˀl	ʔl	1	◌ˀ ◌l
ˀm	ʔm	2	◌ˀ ◌m
ˀn	ʔn	2	◌ˀ ◌n
ˀr	ʔr	1	◌ˀ ◌r
ˀt	ʔt	1	◌ˀ ◌t
ˀw	ʔw	1	◌ˀ ◌w
ˀŋ	ʔŋ	2	◌ˀ ◌ŋ
ˀɲ	ʔɲ	1	◌ˀ ◌ɲ
ʔʷ	ʔʷ	4	◌ʔ ◌ʷ
ʔː	ʔː	3	◌ʔ ◌ː
ʕ	ʕ	15	◌ʕ
ˀɦ	ʕɦ	1	◌ˀ ◌ɦ
ʕʷ	ʕʷ	1	◌ʕ ◌ʷ
ʕʼ	ʕʼ	1	◌ʕ ◌’
ʕː	ʕː	2	◌ʕ ◌ː
ʛ	ʛ	1	◌ʛ
ʛ̥	ʛ̥	1	◌ʛ ◌̥
ʜ	ʜ	1	◌ʜ
ʝ	ʝ	5	◌ʝ
ʟ	ʟ	3	◌ʟ
ʡ	ʡ	1	◌ʡ
ʢ	ʢ	1	◌ʢ
dz	ʣ	4	◌d ◌z
dzː	ʣː	1	◌d ◌z ◌ː
dʒ	ʤ	2	◌d ◌ʒ
ts	ʦ	14	◌t ◌s
tsʼ	ʦʼ	1	◌t ◌s ◌ʼ
tsʼː	ʦʼː	1	◌t ◌s ◌’ ◌ː
tsː	ʦː	5	◌t ◌s ◌ː
tsʰ	ʦ​ʰ​	1	◌t ◌s ◌ʰ
tsʼ	ʦ’	3	◌t ◌s ◌ʼ
tsʼː	ʦ’ː	1	◌t ◌s ◌’ ◌ː
tʃ	ʧ	2	◌t ◌ʃ
tʃʰ	ʧʰ	1	◌t ◌ʃ ◌ʰ
ʰj	ʰj	1	◌ʰ ◌j
ʰk	ʰk	1	◌ʰ ◌k
ʰl	ʰl	1	◌ʰ ◌l
ʰm	ʰm	1	◌ʰ ◌m
ʰn	ʰn	1	◌ʰ ◌n
ʰp	ʰp	1	◌ʰ ◌p
ʰt	ʰt	1	◌ʰ ◌t
ʰw	ʰw	1	◌ʰ ◌w
ʰŋ	ʰŋ	1	◌ʰ ◌ŋ
ʰɲ	ʰɲ	1	◌ʰ ◌ɲ
ˀj	ʼj	1	◌ˀ ◌j
ˀw	ʼw	1	◌ˀ ◌w
ˀc	ˀc	1	◌ˀ ◌c
ˀk	ˀk	1	◌ˀ ◌k
ˀp	ˀp	1	◌ˀ ◌p
ˀt	ˀt	1	◌ˀ ◌t
β	β	15	◌β
βː	βː	1	◌β ◌ː
θ	θ	16	◌θ
θʼ	θʼ	1	◌θ ◌’
θˤ	θˁ	2	◌θ ◌ˤ
θˤː	θˁː	1	◌θ ◌ˤ ◌ː
θː	θː	4	◌θ ◌ː
θ	θ̪	6	◌θ
θʼ	θ̪ʼ	1	◌θ ◌’
θʼ	θ’	1	◌θ ◌’
θʼː	θ’ː	1	◌θ ◌’ ◌ː
χ	χ	20	◌χ
χʷ	χʷ	5	◌χ ◌ʷ
χʼʷ	χʷʼ	3	◌χ ◌’ ◌ʷ
χː	χː	3	◌χ ◌ː
ⁿb	ᵐb	2	◌ⁿ ◌b
ⁿp	ᵐp	1	◌ⁿ ◌p
ⁿw	ᵐw	1	◌ⁿ ◌w
ⁿk	ᵑk	2	◌ⁿ ◌k
ⁿkʷ	ᵑkʷ	1	◌ⁿ ◌k ◌ʷ
ⁿg	ᵑɡ	1	◌ⁿ ◌g
ⁿgʷ	ᵑɡʷ	1	◌ⁿ ◌g ◌ʷ
ⁿʈ	ᶯʈ	1	◌ⁿ ◌ʈ
ḁ	ḁ	1	◌a ◌̥
ɖ	ḍ	1	◌ɖ
ḭ	ḭ	1	◌i ◌̰
ḭː	ḭː	1	◌i ◌̰ ◌ː
n̩	ṇ	1	◌n ◌̩
ɽ	ṛ	1	◌ɽ
ʂ	ṣ	7	◌ʂ
ʈ	ṭ	5	◌ʈ
ʈʰ	ṭʰ	1	◌ʈ ◌ʰ
ʈʼ	ṭʼ	1	◌ʈ ◌’
ʈʂ	ṭṣ	2	◌ʈ ◌ʂ
ṵ	ṵ	1	◌u ◌̰
ṵː	ṵː	1	◌u ◌̰ ◌ː
ʐ	ẓ	1	◌ʐ
ẽ	ẽ	8	◌e ◌̃
ẽː	ẽː	4	◌e ◌̃ ◌ː
ⁿd	ⁿd	1	◌ⁿ ◌d
ⁿdz	ⁿdz	1	◌ⁿ ◌d ◌z
ⁿr	ⁿr	1	◌ⁿ ◌r
ⁿt	ⁿt	2	◌ⁿ ◌t
ⁿts	ⁿts	1	◌ⁿ ◌t ◌s
ⁿtʲ	ⁿtʲ	1	◌ⁿ ◌t ◌ʲ
ⁿɬ	ⁿɬ	1	◌ⁿ ◌ɬ
